Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,cancelled_Rides_by_Customer,cancelled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
14-07-2026 16:33,04:33:06 PM,CNR9531582381,Success,CID3691581,Prime Sedan,Baner,Pisoli,256,82,,,No,,717,Cash,29,3,1
25-07-2026 18:30,06:30:03 PM,CNR6343324282,Success,CID8456377,Prime Sedan,Koregaon Park,Akurdi,138,114,,,No,,1025,UPI,26,3,4.5
07-07-2026 13:06,01:06:15 PM,CNR2347277703,Canceled by Customer,CID7337712,Auto,Mundhwa,Ambegaon,,,Wrong Address,,,,,,,,
17-07-2026 16:14,04:14:05 PM,CNR7010030275,Success,CID4128582,Bike,Kalyani Nagar,Shivajinagar,26,21,,,No,,102,Cash,3,4.7,4.2
19-07-2026 04:10,04:10:02 AM,CNR2220126297,Success,CID3499410,Prime SUV,Viman Nagar,Magarpatta,288,36,,,No,,1226,UPI,23,4.7,4.8
02-07-2026 19:08,07:08:32 PM,CNR1677162670,Success,CID7337888,Bike,Wanowrie,Warje,101,132,,,No,,68,Cash,2,2,4.8
19-07-2026 23:39,11:39:04 PM,CNR5949137733,Canceled by Customer,CID2012800,Prime Plus,Pimpri,Pisoli,,,AC is not working,,,,,,,,
05-07-2026 16:22,04:22:24 PM,CNR8338194113,Success,CID6282922,Prime Sedan,Fatima Nagar,Magarpatta,213,114,,,No,,695,UPI,19,3,4.7
03-07-2026 02:17,02:17:13 AM,CNR6772270612,Success,CID3714454,Prime Plus,Fatima Nagar,Bavdhan,94,58,,,No,,1413,UPI,38,3.8,4.7
30-07-2026 18:31,06:31:06 PM,CNR4952891630,Success,CID6893527,Bike,Lohegaon,Wakad,91,92,,,No,,77,UPI,3,4,4.2
31-07-2026 15:22,03:22:06 PM,CNR3042542092,Success,CID1370149,Mini,Moshi,Baner,48,29,,,No,,309,UPI,9,4,4
25-07-2026 00:48,12:48:53 AM,CNR6639995623,Success,CID8632006,Bike,Karve Nagar,Dhayari,306,30,,,No,,116,UPI,3,1,2.5
10-07-2026 20:10,08:10:18 PM,CNR8992377118,Success,CID3195193,Auto,Kharadi,Camp,232,116,,,No,,338,Credit Card,14,1,4.2
04-07-2026 14:03,02:03:07 PM,CNR9040703898,Success,CID5766619,eBike,Hadapsar,Tathawade,174,80,,,No,,134,Credit Card,5,4.2,2.5
22-07-2026 15:22,03:22:06 PM,CNR3377295530,Success,CID8503290,Auto,Chakan,Chinchwad,92,129,,,No,,245,UPI,13,4.8,2.5
14-07-2026 13:57,01:57:49 PM,CNR1720898518,Success,CID1646360,Auto,Bibwewadi,Keshav Nagar,47,125,,,No,,185,UPI,9,4,2
05-07-2026 09:40,09:40:28 AM,CNR3133457463,Driver not found,CID1082217,Mini,Pashan,Punawale,,,,,,,,,,,
16-07-2026 22:40,10:40:11 PM,CNR4832749741,Success,CID9271023,Mini,Dighi,Koregaon Park,160,98,,,No,,487,Cash,23,4.5,3.2
02-07-2026 13:41,01:41:28 PM,CNR7812890246,Success,CID1271114,Auto,Dhankawadi,Punawale,296,126,,,Yes,Customer Demand,260,UPI,14,2,4
28-07-2026 21:54,09:54:50 PM,CNR1933320989,Success,CID6678483,Prime Plus,Aundh,Kalyani Nagar,172,48,,,No,,336,Credit Card,11,3.5,3.8
09-07-2026 19:31,07:31:59 PM,CNR4201287102,Canceled by Driver,CID8451117,Prime Sedan,Aundh,Warje,,,,More than permitted people in there,,,,,,,
21-07-2026 09:53,09:53:42 AM,CNR9557290195,Success,CID1121088,Bike,Chinchwad,Ambegaon,58,112,,,No,,140,UPI,10,5,4.2
10-07-2026 07:23,07:23:56 AM,CNR2651397031,Driver not found,CID5066764,Bike,Chinchwad,Lohegaon,,,,,,,,,,,
17-07-2026 08:48,08:48:16 AM,CNR5792881139,Driver not found,CID3506129,Mini,Swargate,Baner,,,,,,,,,,,
18-07-2026 09:23,09:23:55 AM,CNR7071432466,Canceled by Customer,CID5625128,Auto,Dighi,Kharadi,,,Driver is not moving towards pickup location,,,,,,,,
06-07-2026 22:43,10:43:27 PM,CNR1876817533,Success,CID9649794,Prime Plus,Dhankawadi,Kharadi,299,51,,,No,,752,UPI,27,4.8,3.2
31-07-2026 12:31,12:31:05 PM,CNR6560921027,Success,CID5031848,Auto,Warje,Karve Nagar,239,134,,,No,,263,UPI,10,4.8,4.8
24-07-2026 16:39,04:39:35 PM,CNR8396363757,Success,CID2092840,Prime Sedan,Fatima Nagar,Undri,158,118,,,No,,560,Cash,15,2,2.5
30-07-2026 00:58,12:58:55 AM,CNR4401993264,Success,CID2581004,Bike,Undri,Pirangut,255,74,,,No,,77,Credit Card,3,4,3.8
28-07-2026 03:24,03:24:56 AM,CNR8714344991,Success,CID1337417,Mini,Pimpri,Narhe,126,124,,,No,,145,Debit Card,5,4,3.2
19-07-2026 04:58,04:58:21 AM,CNR1685167771,Success,CID4367448,Prime Sedan,Sinhagad Road,Shivajinagar,281,136,,,No,,1031,UPI,32,3.5,4.7
29-07-2026 13:52,01:52:45 PM,CNR4260000625,Driver not found,CID2974834,Auto,Bhosari,Keshav Nagar,,,,,,,,,,,
04-07-2026 23:04,11:04:27 PM,CNR1275044803,Canceled by Driver,CID5452483,Auto,Swargate,Kharadi,,,,Personal & Car related issues,,,,,,,
06-07-2026 17:20,05:20:21 PM,CNR1870658522,Success,CID6980633,Auto,Pirangut,Wagholi,126,124,,,No,,155,Debit Card,7,4.7,4.7
02-07-2026 02:38,02:38:54 AM,CNR8809294313,Canceled by Customer,CID9424036,eBike,Kothrud,Chinchwad,,,Driver is not moving towards pickup location,,,,,,,,
11-07-2026 19:53,07:53:30 PM,CNR3135123012,Success,CID4042090,Bike,Dighi,Hadapsar,153,148,,,No,,235,Cash,11,4.5,2.5
12-07-2026 00:12,12:12:46 AM,CNR7911219660,Canceled by Driver,CID8110434,Mini,Bibwewadi,Kondhwa,,,,Customer related issue,,,,,,,
10-07-2026 06:14,06:14:09 AM,CNR7108573153,Success,CID2263824,Mini,Pashan,Moshi,25,62,,,No,,205,Debit Card,5,3.8,4.8
26-07-2026 05:59,05:59:23 AM,CNR6382758744,Success,CID4742191,Prime Plus,Tathawade,Dhankawadi,275,77,,,No,,1101,UPI,27,4,2.5
11-07-2026 07:09,07:09:57 AM,CNR9483011232,Canceled by Customer,CID1529221,Auto,Karve Nagar,Kothrud,,,Driver asked to cancel,,,,,,,,
10-07-2026 18:00,06:00:11 PM,CNR4585839744,Success,CID3555327,Prime Sedan,Akurdi,Fatima Nagar,236,65,,,No,,565,Credit Card,14,3,3.2
18-07-2026 15:52,03:52:52 PM,CNR8165267954,Driver not found,CID5815462,Auto,Warje,Keshav Nagar,,,,,,,,,,,
05-07-2026 16:24,04:24:38 PM,CNR4750755019,Driver not found,CID1655864,Prime Plus,Punawale,Vadgaon Budruk,,,,,,,,,,,
25-07-2026 23:03,11:03:15 PM,CNR3320192511,Success,CID4797738,Auto,Nigdi,Keshav Nagar,75,91,,,No,,197,UPI,6,4.8,4.5
03-07-2026 16:27,04:27:53 PM,CNR1268449047,Success,CID7200572,Bike,Pashan,Ambegaon,155,142,,,No,,95,UPI,2,4.8,4.7
31-07-2026 17:55,05:55:58 PM,CNR8510139231,Success,CID9277547,Prime Sedan,Swargate,Viman Nagar,202,81,,,No,,618,UPI,19,4.5,4.7
24-07-2026 07:16,07:16:11 AM,CNR3356172221,Success,CID3644505,Auto,Magarpatta,Swargate,294,36,,,No,,255,UPI,8,5,4.8
07-07-2026 00:51,12:51:45 AM,CNR8837024010,Success,CID5962101,Bike,Pisoli,Bavdhan,115,45,,,No,,149,Credit Card,11,4.2,2
01-07-2026 23:45,11:45:31 PM,CNR4897693695,Success,CID6767973,Auto,Fatima Nagar,Shivajinagar,29,57,,,No,,245,UPI,13,4.5,1
26-07-2026 08:35,08:35:45 AM,CNR8783911022,Success,CID6986308,Prime Sedan,Dighi,Vadgaon Budruk,154,19,,,No,,875,UPI,28,3.5,3.8
23-07-2026 16:16,04:16:08 PM,CNR9766461535,Driver not found,CID9350961,Bike,Bibwewadi,Lohegaon,,,,,,,,,,,
24-07-2026 06:28,06:28:04 AM,CNR2841141374,Canceled by Driver,CID1604255,Prime Sedan,Magarpatta,Pimpri,,,,Personal & Car related issues,,,,,,,
24-07-2026 21:46,09:46:32 PM,CNR2272246264,Driver not found,CID7037895,Mini,Shivajinagar,Punawale,,,,,,,,,,,
03-07-2026 01:35,01:35:52 AM,CNR9868069132,Canceled by Customer,CID1701064,Auto,Pimpri,Dighi,,,Change of plans,,,,,,,,
12-07-2026 17:34,05:34:17 PM,CNR5697355211,Success,CID3273544,Bike,Dhankawadi,Punawale,81,132,,,No,,186,Credit Card,8,3,1
04-07-2026 05:38,05:38:25 AM,CNR3838624362,Success,CID6608660,Auto,Camp,Wagholi,117,25,,,No,,258,Cash,10,4.8,3.8
26-07-2026 19:22,07:22:38 PM,CNR7554807073,Canceled by Customer,CID6313370,Mini,Mundhwa,Dhankawadi,,,AC is not working,,,,,,,,
19-07-2026 13:21,01:21:13 PM,CNR4671336486,Canceled by Driver,CID1807772,Bike,Chakan,Wagholi,,,,The customer was coughing/sick,,,,,,,
11-07-2026 23:05,11:05:21 PM,CNR7189409749,Success,CID4367018,Auto,Sinhagad Road,Akurdi,256,101,,,No,,344,UPI,15,4.2,4.2
03-07-2026 04:01,04:01:43 AM,CNR3656696361,Success,CID8687446,Bike,Moshi,Dighi,93,70,,,No,,96,UPI,2,2,4
10-07-2026 10:51,10:51:08 AM,CNR7475714674,Success,CID6705062,eBike,Warje,Punawale,225,23,,,No,,115,Cash,4,3.2,4.7
11-07-2026 02:23,02:23:09 AM,CNR4083326403,Canceled by Driver,CID8520828,Mini,Yerawada,Chinchwad,,,,Customer related issue,,,,,,,
24-07-2026 15:30,03:30:45 PM,CNR7889748571,Success,CID4446916,Prime SUV,Punawale,Fatima Nagar,147,21,,,No,,1050,Credit Card,21,3.8,2
20-07-2026 17:38,05:38:15 PM,CNR5650540807,Success,CID2645869,Mini,Tathawade,Kondhwa,275,124,,,No,,259,Cash,11,3.5,3.8
27-07-2026 10:24,10:24:09 AM,CNR4798636457,Driver not found,CID9381643,Auto,Mundhwa,Wanowrie,,,,,,,,,,,
15-07-2026 15:37,03:37:54 PM,CNR4400443678,Success,CID9829143,Bike,Dhayari,Nigdi,283,84,,,No,,140,Credit Card,10,4.2,4.2
04-07-2026 06:05,06:05:26 AM,CNR3608974562,Canceled by Driver,CID5969406,Mini,Magarpatta,Yerawada,,,,More than permitted people in there,,,,,,,
23-07-2026 16:38,04:38:21 PM,CNR6441919244,Success,CID6787734,Prime Plus,Magarpatta,Pirangut,144,134,,,No,,752,Cash,27,4.5,4.5
24-07-2026 00:28,12:28:19 AM,CNR1972528969,Canceled by Driver,CID6414079,Bike,Lohegaon,Bavdhan,,,,The customer was coughing/sick,,,,,,,
18-07-2026 18:57,06:57:55 PM,CNR1549854554,Success,CID6015533,Auto,Ambegaon,Camp,276,131,,,No,,353,Credit Card,13,5,4.7
24-07-2026 01:29,01:29:25 AM,CNR7571666731,Canceled by Customer,CID1332558,Bike,Kothrud,Kalyani Nagar,,,Driver is not moving towards pickup location,,,,,,,,
16-07-2026 16:07,04:07:12 PM,CNR1325643601,Canceled by Driver,CID8927673,Mini,Yerawada,Bavdhan,,,,Personal & Car related issues,,,,,,,
17-07-2026 10:13,10:13:15 AM,CNR7558878393,Success,CID2243926,Auto,Yerawada,Pisoli,83,46,,,No,,135,UPI,3,3.8,4.8
13-07-2026 05:54,05:54:25 AM,CNR2089027736,Canceled by Driver,CID3379366,Mini,Bibwewadi,Aundh,,,,Personal & Car related issues,,,,,,,
02-07-2026 11:40,11:40:14 AM,CNR5930376917,Driver not found,CID2032444,eBike,Kondhwa,Dhankawadi,,,,,,,,,,,
04-07-2026 12:09,12:09:15 PM,CNR8049661324,Success,CID6179180,Auto,Warje,Magarpatta,261,41,,,No,,463,Debit Card,16,4.5,4.2
02-07-2026 01:09,01:09:15 AM,CNR7370638378,Success,CID1121642,Prime Plus,Narhe,Pashan,34,78,,,No,,726,UPI,26,5,4.5
20-07-2026 09:11,09:11:08 AM,CNR5350917463,Success,CID3899908,Auto,Wanowrie,Undri,259,108,,,No,,275,Cash,15,2,3.8
10-07-2026 02:44,02:44:55 AM,CNR8803645148,Success,CID2960585,Auto,Chinchwad,Yerawada,300,21,,,No,,172,Cash,4,2.5,3.2
17-07-2026 20:54,08:54:18 PM,CNR1345082599,Success,CID3962094,Mini,Bavdhan,Punawale,70,19,,,Yes,Vehicle Breakdown,483,Cash,15,5,4.8
28-07-2026 06:47,06:47:10 AM,CNR2421898031,Success,CID5884950,eBike,Pimpri,Wanowrie,305,62,,,No,,98,UPI,6,2.5,5
09-07-2026 12:09,12:09:00 PM,CNR3476987900,Canceled by Driver,CID3878317,Prime Sedan,Hinjawadi,Dighi,,,,Customer related issue,,,,,,,
13-07-2026 11:05,11:05:05 AM,CNR4977447387,Success,CID8737783,Prime SUV,Hinjawadi,Kharadi,72,123,,,Yes,Other Issue,1042,UPI,31,2.5,1
24-07-2026 12:44,12:44:52 PM,CNR7488476236,Canceled by Customer,CID2602081,Mini,Lohegaon,Katraj,,,Driver is not moving towards pickup location,,,,,,,,
08-07-2026 06:06,06:06:22 AM,CNR5813909909,Canceled by Driver,CID2324265,Prime Sedan,Punawale,Hadapsar,,,,Personal & Car related issues,,,,,,,
03-07-2026 07:24,07:24:54 AM,CNR9130695274,Canceled by Driver,CID9007961,Prime Plus,Vishrantwadi,Aundh,,,,Personal & Car related issues,,,,,,,
10-07-2026 16:29,04:29:37 PM,CNR7026866962,Success,CID4827000,Mini,Kothrud,Dhankawadi,83,94,,,No,,304,UPI,10,4.7,4.8
05-07-2026 13:11,01:11:10 PM,CNR2532001992,Success,CID6250301,Mini,Akurdi,Viman Nagar,62,87,,,No,,706,UPI,23,2,4.7
29-07-2026 03:53,03:53:57 AM,CNR3075504241,Success,CID8033798,Mini,Wanowrie,Vadgaon Budruk,184,34,,,No,,240,UPI,10,3.5,3.8
25-07-2026 12:45,12:45:50 PM,CNR9753960700,Driver not found,CID6560659,Prime Sedan,Magarpatta,Swargate,,,,,,,,,,,
20-07-2026 01:23,01:23:43 AM,CNR2410198524,Success,CID4001840,Prime Plus,Lohegaon,Warje,255,104,,,No,,986,Debit Card,36,3,2.5
27-07-2026 23:31,11:31:14 PM,CNR5893535611,Driver not found,CID2978470,Mini,Undri,Warje,,,,,,,,,,,
25-07-2026 12:34,12:34:50 PM,CNR3235554128,Success,CID3684961,Bike,Yerawada,Koregaon Park,133,86,,,No,,165,Cash,7,3,3
06-07-2026 19:27,07:27:10 PM,CNR3259030180,Canceled by Driver,CID9217845,Prime SUV,Bibwewadi,Vadgaon Budruk,,,,More than permitted people in there,,,,,,,
28-07-2026 11:15,11:15:08 AM,CNR4329750247,Success,CID4346689,Mini,Akurdi,Katraj,268,37,,,No,,316,Cash,14,4.8,4.8
17-07-2026 12:21,12:21:59 PM,CNR5384943257,Success,CID5262848,Bike,Tathawade,Hadapsar,217,132,,,No,,151,Credit Card,5,3,3
25-07-2026 02:59,02:59:33 AM,CNR4623365543,Driver not found,CID1263394,Mini,Shivajinagar,Ravet,,,,,,,,,,,
28-07-2026 19:52,07:52:50 PM,CNR9687683401,Canceled by Driver,CID1943275,Bike,Pisoli,Camp,,,,Personal & Car related issues,,,,,,,
10-07-2026 04:45,04:45:15 AM,CNR1479873108,Success,CID9281460,Prime Plus,Magarpatta,Camp,80,82,,,No,,824,Cash,19,4.7,1
04-07-2026 10:53,10:53:05 AM,CNR8878965280,Driver not found,CID7839641,Mini,Pimpri,Dhankawadi,,,,,,,,,,,
08-07-2026 11:18,11:18:13 AM,CNR1882191526,Success,CID8990518,Bike,Punawale,Mundhwa,219,148,,,No,,95,Credit Card,5,2.5,4.2
13-07-2026 00:47,12:47:56 AM,CNR4211418633,Success,CID2406108,Prime SUV,Narhe,Keshav Nagar,84,100,,,No,,562,UPI,16,4.8,3
26-07-2026 05:33,05:33:00 AM,CNR3733131009,Success,CID6783941,Auto,Bavdhan,Undri,198,64,,,No,,148,UPI,4,3.5,4.2
26-07-2026 01:53,01:53:42 AM,CNR9203803689,Driver not found,CID9444404,Auto,Ambegaon,Dighi,,,,,,,,,,,
01-07-2026 13:46,01:46:41 PM,CNR8635251402,Success,CID1919211,Prime Sedan,Pashan,Tathawade,194,34,,,No,,579,UPI,23,3.2,2
17-07-2026 14:24,02:24:44 PM,CNR9983047692,Success,CID6294114,Mini,Swargate,Kharadi,273,81,,,No,,715,Cash,23,4.2,3.2
13-07-2026 04:20,04:20:50 AM,CNR8036858216,Success,CID3134146,Prime Plus,Shivajinagar,Kondhwa,45,147,,,No,,752,UPI,27,3.5,4.8
08-07-2026 19:16,07:16:48 PM,CNR2299438049,Success,CID2507918,Prime Sedan,Akurdi,Bibwewadi,124,111,,,No,,487,UPI,19,4.8,1
04-07-2026 06:57,06:57:13 AM,CNR4663308289,Driver not found,CID8424995,Mini,Undri,Pisoli,,,,,,,,,,,
11-07-2026 21:24,09:24:33 PM,CNR5368467935,Success,CID9322146,Auto,Sinhagad Road,Swargate,177,133,,,No,,320,UPI,11,3.8,3.2
30-07-2026 02:20,02:20:14 AM,CNR7196080255,Canceled by Driver,CID5425928,Prime Plus,Dighi,Aundh,,,,Personal & Car related issues,,,,,,,
11-07-2026 18:00,06:00:32 PM,CNR1120185966,Canceled by Customer,CID2160888,Mini,Lohegaon,Wagholi,,,AC is not working,,,,,,,,
17-07-2026 15:33,03:33:04 PM,CNR4410421625,Success,CID5734686,Prime SUV,Sinhagad Road,Tathawade,285,55,,,Yes,Customer Demand,2118,UPI,41,3,4.7
22-07-2026 17:25,05:25:26 PM,CNR8007070431,Canceled by Driver,CID7695575,Bike,Kondhwa,Bavdhan,,,,Personal & Car related issues,,,,,,,
12-07-2026 05:41,05:41:02 AM,CNR1722190109,Success,CID2584152,Auto,Ravet,Magarpatta,224,82,,,Yes,Vehicle Breakdown,415,UPI,14,4.7,2
31-07-2026 19:25,07:25:44 PM,CNR5087677297,Canceled by Driver,CID5594153,Auto,Magarpatta,Nigdi,,,,More than permitted people in there,,,,,,,
30-07-2026 18:00,06:00:51 PM,CNR7650828366,Success,CID3973714,Mini,Viman Nagar,Punawale,88,128,,,No,,316,Cash,14,3.2,4.7
09-07-2026 07:33,07:33:04 AM,CNR6013738369,Success,CID9811754,Prime Sedan,Bhosari,Mundhwa,119,79,,,No,,487,UPI,19,4.8,2.5
16-07-2026 22:43,10:43:51 PM,CNR4657201968,Canceled by Driver,CID3429272,Bike,Pimpri,Wanowrie,,,,Customer related issue,,,,,,,
10-07-2026 07:36,07:36:43 AM,CNR5948596747,Success,CID4464961,Mini,Kothrud,Moshi,77,84,,,No,,271,UPI,7,5,4
10-07-2026 05:35,05:35:17 AM,CNR6048601315,Success,CID1645893,Prime SUV,Dhanori,Undri,149,56,,,Yes,Other Issue,1972,UPI,46,2,4
02-07-2026 07:15,07:15:20 AM,CNR8584415592,Driver not found,CID9999553,Mini,Mundhwa,Hadapsar,,,,,,,,,,,
19-07-2026 20:10,08:10:52 PM,CNR4806598127,Success,CID9560787,Prime Sedan,Mundhwa,Akurdi,308,96,,,No,,762,UPI,23,2.5,3
16-07-2026 15:07,03:07:54 PM,CNR2296174989,Canceled by Driver,CID1320188,Bike,Pashan,Chinchwad,,,,Customer related issue,,,,,,,
03-07-2026 21:49,09:49:01 PM,CNR4011966798,Success,CID1726936,Prime Plus,Shivajinagar,Bibwewadi,154,134,,,No,,1196,UPI,28,1,2
10-07-2026 01:16,01:16:39 AM,CNR7102675343,Success,CID8050151,Prime Sedan,Ravet,Koregaon Park,86,68,,,No,,647,UPI,19,3.8,1
28-07-2026 03:27,03:27:26 AM,CNR7076144153,Driver not found,CID3851277,Auto,Chakan,Wanowrie,,,,,,,,,,,
08-07-2026 03:45,03:45:56 AM,CNR4177236923,Success,CID4771787,Prime Sedan,Warje,Pirangut,41,86,,,No,,556,Credit Card,22,5,4
05-07-2026 23:41,11:41:30 PM,CNR8734063270,Success,CID1584928,Bike,Bibwewadi,Dhayari,97,108,,,No,,145,Credit Card,7,3.8,5
16-07-2026 04:58,04:58:11 AM,CNR1855333513,Success,CID2944642,Bike,Baner,Tathawade,215,114,,,No,,104,Debit Card,6,4.7,5
31-07-2026 21:14,09:14:23 PM,CNR4693386018,Success,CID2951659,Prime Sedan,Pashan,Punawale,52,97,,,No,,630,UPI,15,1,1
08-07-2026 12:31,12:31:18 PM,CNR6146170810,Driver not found,CID2981007,Auto,Ambegaon,Narhe,,,,,,,,,,,
21-07-2026 07:39,07:39:40 AM,CNR4943587102,Success,CID5723846,Auto,Ravet,Vishrantwadi,124,45,,,No,,245,Debit Card,13,3.8,1
24-07-2026 12:23,12:23:49 PM,CNR3629668351,Success,CID9467351,Auto,Kalyani Nagar,Baner,224,22,,,No,,369,Credit Card,13,3.8,3
08-07-2026 18:25,06:25:49 PM,CNR2213832116,Success,CID7429361,Prime Sedan,Pashan,Lohegaon,136,144,,,No,,694,UPI,28,4.5,4.7
24-07-2026 14:26,02:26:01 PM,CNR5037239772,Success,CID9391296,Mini,Vishrantwadi,Yerawada,244,37,,,Yes,Other Issue,358,UPI,10,3,3.2
12-07-2026 13:21,01:21:48 PM,CNR1477894151,Success,CID7333022,Prime Sedan,Ambegaon,Chinchwad,253,58,,,No,,403,Debit Card,9,3,3
20-07-2026 00:34,12:34:21 AM,CNR4650636894,Success,CID1829480,Mini,Baner,Undri,42,15,,,No,,259,Cash,11,5,4.8
20-07-2026 03:07,03:07:09 AM,CNR3156820534,Driver not found,CID9100672,Auto,Koregaon Park,Pimpri,,,,,,,,,,,
17-07-2026 01:44,01:44:55 AM,CNR8492808559,Driver not found,CID3447605,Auto,Bhosari,Sinhagad Road,,,,,,,,,,,
04-07-2026 10:30,10:30:12 AM,CNR4783181109,Success,CID9256421,Auto,Vishrantwadi,Kondhwa,277,105,,,No,,176,UPI,5,2.5,2.5
26-07-2026 18:09,06:09:01 PM,CNR2345264124,Success,CID3531410,Mini,Akurdi,Moshi,68,131,,,No,,451,UPI,16,4,2.5
10-07-2026 15:17,03:17:00 PM,CNR9293191120,Success,CID5506268,Prime Sedan,Kondhwa,Koregaon Park,37,17,,,Yes,Vehicle Breakdown,1033,UPI,27,4,4.7
06-07-2026 08:07,08:07:10 AM,CNR6845096603,Canceled by Driver,CID6752568,Auto,Dhayari,Aundh,,,,Personal & Car related issues,,,,,,,
02-07-2026 17:43,05:43:45 PM,CNR4724867840,Canceled by Driver,CID3689494,eBike,Ambegaon,Bavdhan,,,,Customer related issue,,,,,,,
19-07-2026 01:38,01:38:57 AM,CNR2628592632,Canceled by Driver,CID8930121,Prime Sedan,Shivajinagar,Tathawade,,,,The customer was coughing/sick,,,,,,,
21-07-2026 20:52,08:52:10 PM,CNR1032255148,Success,CID1776280,Mini,Undri,Sinhagad Road,59,119,,,No,,430,UPI,20,4,2.5
01-07-2026 14:31,02:31:26 PM,CNR3778629567,Success,CID9102540,Bike,Bhosari,Pisoli,168,73,,,No,,95,UPI,5,3.5,1
17-07-2026 21:09,09:09:44 PM,CNR3283453233,Success,CID9502324,Mini,Kothrud,Shivajinagar,25,130,,,No,,200,Credit Card,5,3.5,3.8
08-07-2026 15:48,03:48:45 PM,CNR9926740195,Success,CID2655994,Prime Plus,Chinchwad,Camp,179,142,,,No,,336,UPI,11,3.2,2.5
